signI	signJ	{measureName}
EN~a	ME~a	87.94361778228068
1(N01)	DI	87.58329625039808
1(N01)	ERIN	87.37805150857729
EN~a	SAG	87.2931295290179
EN~a	SANGA~a	85.46838482189979
3(N01)	PAP~a	84.75265104235093
1(N01)	1(N24)	84.66184436775738
1(N14)	4(N14)	84.39603730484849
3(N01)	GI	84.22900781059923
NI~a	RU	83.87238346356813
1(N14)	E2~a	83.51096973069329
SZE~a	U4	83.42328267508253
GA~a	ZATU753	83.2734962406015
3(N01)	UDU~a	82.51395889577275
1(N14)	9(N01)	82.49428758882512
1(N45)	SZE~a	82.44287646218947
3(N01)	SZU	82.42719686877366
1(N01)	GU4	82.40165114972017
1(N34)	5(N01)	82.30237172040636
1(N01)	MA	81.91901018088035
3(N01)	6(N01)	81.8416713354765
3(N14)	SZE~a	81.77267001881124
4(N01)	U4	81.59405571886975
1(N01)	TUR3~a	81.36852169459482
5(N01)	6(N01)	81.3113049894063
BA	GI	80.4464989693607
AN	NUN~a	80.29764591416078
1(N01)	U2~b	80.29749719904582
PAP~a	SZE~a	80.18911375251697
1(N01)	APIN~a	80.16989575491888
1(N01)	SIG2~b	79.93865062450311
1(N14)	GAR	79.8232506637415
2(N01)	4(N14)	79.81049404330697
5(N01)	U4	79.79454342326103
KUR~a	SAL	79.75283942983529
1(N01)	DUG~a	79.55315856875251
DU	PAP~a	79.37630582741959
BAR	U4	79.27721920436187
2(N01)	NI~a	79.24822743502097
3(N57)	U4	78.89223631182051
A	AN	78.81152913310636
4(N01)	6(N01)	78.68326237164266
1(N57)	5(N01)	78.53154653116073
1(N58)	BAD~a	78.0
2(N01)	KI	77.62418963505793
1(N01)	RU	77.54840211507329
AN	PAP~a	77.52002557385767
1(N57)	EN~a	77.46761916400239
GI	SZE~a	77.23652702308402
5(N01)	UDU~a	77.22949527135695
PAP~a	SZU	77.07117440147618
5(N01)	SZE~a	77.06337587888001
1(N14)	5(N14)	77.00135697925373
BA	SZE~a	76.98529650872625
EN~a	IB~a	76.91236404972246
AN	SZU	76.77505967687435
1(N01)	GA2~a1	76.76584130158614
2(N01)	KU6~a	76.68754048421565
2(N01)	SAG	76.66679170680527
1(N57)	SAL	76.60019724265928
1(N01)	8(N01)	76.54384482657187
EN~a	NAM2	76.25811626398571
2(N01)	BAR	75.96907544661327
NAM2	PAP~a	75.83769040098868
1(N01)	ERIM~a	75.81908155834022
4(N14)	5(N01)	75.74903692558846
3(N57)	E2~a	75.6481267363445
1(N01)	KISAL~b1	74.97959881379275
AN	SAL	74.95394694424738
1(N01)	SUKKAL	74.5783573599683
AN	U4	74.56234667627247
1(N01)	PIRIG~b1	74.50948718892973
1(N01)	ZATU753	74.29942417010706
1(N01)	GI6	73.97916843024151
2(N01)	TUG2~a	73.92964820058712
2(N01)	NAM2	73.74074313562764
1(N24)	1(N39~a)	73.62201136546341
1(N57)	4(N01)	73.54912261081638
2(N14)	4(N14)	73.40561751327637
1(N01)	SZE3	73.33009394475182
1(N14)	SZU	72.84954854850433
1(N34)	3(N01)	72.54778509089937
2(N01)	8(N01)	72.34605775717583
1(N14)	3(N57)	72.33618560147241
PAP~a	U4	71.601274190314
1(N34)	4(N01)	71.4001272437561
3(N01)	3(N57)	71.38466251028119
4(N01)	AN	71.32380323985015
1(N14)	SZU2	71.31194264585599
1(N01)	MASZ2	70.93337526899151
BU~a	SZE~a	70.31983218278292
EN~a	TUR	70.22260219464236
1(N01)	UNUG~a	70.17196768647777
5(N01)	SAL	70.02269821493087
1(N01)	SILA3~a	69.95989947077193
2(N01)	HI	69.74734997383295
1(N01)	NAGA~a	69.59968564740124
2(N01)	TUR	69.29656722929795
AN	HI	69.28605885762758
1(N01)	SZA	68.77070134617188
1(N01)	4(N14)	68.60656179961074
2(N01)	PA~a	68.58523936161818
1(N14)	GAL~a	68.50493286072144
3(N57)	BU~a	68.50283417459019
AN	KI	68.42034842466813
1(N01)	RAD~a	68.41623301192752
1(N01)	UB	68.3766772510618
3(N01)	A	68.3368849560022
2(N01)	7(N01)	68.23205413503337
3(N57)	SAL	67.86622329498528
1(N01)	GADA~a	67.86040382446579
3(N01)	BU~a	67.7012930513876
3(N01)	NUN~a	67.64888134352343
1(N01)	E2~b	67.61457766843242
1(N01)	URU~a1	67.48631927354668
2(N14)	BA	67.43225206809531
EN~a	TE	67.02868755603569
AN	BU~a	67.02246819800213
5(N14)	SZE~a	67.01225679381255
3(N14)	EN~a	66.94668966780608
GAL~a	SZITA~a1	66.84653848461106
1(N01)	NUNUZ~a1	66.84159974269328
2(N01)	GAR	66.78904456865435
2(N14)	UDU~a	66.76364767494407
BU~a	NAM2	66.6658439356415
3(N57)	SZE~a	66.12347630103255
2(N01)	AB~a	66.11253363495426
1(N57)	DUG~c	65.65859407190676
2(N01)	KUR~a	65.62493241870648
NAM2	PA~a	65.49763810375268
1(N01)	U8	65.45074404758766
1(N01)	AMAR	65.3352568764679
1(N01)	1(N39~a)	65.0887984483247
2(N14)	U4	64.99545640961853
1(N01)	1(N58)	64.98763283758959
1(N57)	2(N14)	64.92850549198843
1(N01)	DUB~a	64.79718314634857
1(N14)	NUN~a	64.65893296816478
2(N14)	7(N01)	64.61759146595637
AN	E2~a	64.55898435043807
2(N57)	U4	64.20805012676101
1(N14)	A	64.02609850882584
AN	BA	63.971800196455256
E2~a	PAP~a	63.83640048228457
AB~a	EN~a	63.83514109063191
1(N01)	UMUN2	63.79710518459448
1(N01)	2(N57)	63.61601742785396
1(N57)	BA	63.54620790719218
3(N01)	BAR	63.517656419587155
1(N01)	KAB	63.40866407245503
1(N14)	SANGA~a	63.34175299941425
1(N01)	KASZ~c	63.33271489118776
A	BU~a	63.311439250609354
5(N01)	AN	63.1688219519002
1(N14)	2(N34)	62.9763342700626
2(N14)	SAL	62.89023859633902
1(N14)	BU~a	62.852632462545124
AN	GI	62.16717204549242
KAB	NAM2	61.9959523209128
3(N57)	AN	61.90812794822204
1(N24)	2(N39~a)	61.88089429627449
BU~a	DU	61.83708327436216
EN~a	KU6~a	61.69415343774293
1(N01)	UDUNITA~a	61.65262358546388
2(N01)	NE~a	61.555243283810114
4(N01)	BA	61.47774722923819
1(N01)	DIN	61.40494473130773
5(N01)	BA	61.388223134266475
EN~a	SZITA~a1	61.334919509948854
3(N01)	E2~a	61.02008932983912
3(N01)	DU	60.86262106358849
4(N01)	PAP~a	60.785193993746894
2(N01)	UD5~a	60.58950696262486
BAR	SAL	60.53995563372364
1(N01)	ZATU659	60.41974425267916
3(N01)	4(N14)	60.11903717549248
1(N24)	SZE~a	60.09010160546521
1(N01)	NUN~b	60.000741602415765
1(N14)	BAR	59.7817942038013
GI	PAP~a	59.7403422613502
GI	U4	59.64121206950935
1(N01)	SIG7	59.621397237072536
3(N01)	SZU2	59.55325025272735
AN	SZE~a	59.55223521059906
3(N14)	4(N14)	59.52774892025276
1(N24)	2(N01)	59.470871679513515
SAL	U4	59.44509623739746
BU~a	E2~a	59.437141555723564
1(N01)	NA~a	59.41682699454906
2(N14)	8(N01)	59.37282962721615
3(N14)	6(N01)	58.89023782349596
1(N14)	DU	58.79605834976826
1(N01)	GAN2	58.788374545691255
1(N14)	ME~a	58.71431154022917
2(N01)	SZITA~a1	58.663439189254845
5(N01)	PAP~a	58.60377256227977
2(N14)	PAP~a	58.55946579546852
GAL~a	NAM2	58.50316788207129
1(N01)	NAR	58.33814533436458
AN	DU	58.32607983715536
AN	SI	58.283426021792096
4(N01)	4(N14)	58.27505855721153
3(N57)	PIRIG~b1	58.141069258637636
SAL	SZU	58.0194358643885
3(N01)	7(N01)	57.97288074146012
BU~a	GI	57.888433700309626
1(N01)	1(N02)	57.719343574181856
3(N01)	GAL~a	57.48436427831414
PA~a	SZE~a	57.26756960331958
1(N34)	5(N14)	57.26511385817133
4(N01)	UDU~a	57.22238376632602
BU~a	SAL	57.11065376715987
HI	NUN~a	57.109091154971786
4(N01)	8(N01)	57.06962221531762
2(N01)	MASZ	56.94902091399152
2(N14)	2(N34)	56.87229397644241
2(N01)	SZUBUR	56.77564226192027
BA	U4	56.75849701644264
1(N14)	U8	56.739835261522174
E2~a	NUN~a	56.677003675285945
1(N01)	MAR~a	56.58378701827698
1(N01)	AL	56.557399116799324
AN	SZU2	56.47814355606512
2(N01)	5(N14)	56.231369067457464
4(N01)	SAL	56.108951744816146
3(N01)	SI	55.91412610374974
AN	NI~a	55.56971572541111
4(N01)	GI	55.42585467532885
NUN~a	SANGA~a	55.347052298959646
1(N01)	5(N14)	55.10597933072365
E2~a	SAL	55.039206100184664
2(N14)	GAR	55.010376224474186
SAL	SANGA~a	54.97192311928343
3(N57)	DU	54.947713991280885
3(N01)	8(N01)	54.90853950641567
GAL~a	GA~a	54.794297230960126
1(N57)	SZUBUR	54.68509896262887
U8	UD5~a	54.66897195648738
