signI	signJ	{measureName}
E2~a	EN~a	44.28010520479556
BU~a	EN~a	44.18369415237522
2(N01)	TUG2~a	43.4165528915529
4(N14)	5(N01)	43.17647226354655
1(N01)	1(N39~a)	43.030943690812116
2(N01)	4(N14)	42.97897409607934
2(N01)	E2~a	42.92383439141504
1(N01)	MA	42.82878977747399
1(N01)	ZATU659	42.802430902430906
3(N01)	BA	42.67640107140882
1(N01)	GA2~a1	42.63571428571428
E2~a	NUN~a	42.60637932329108
DU	PAP~a	42.41759575220101
1(N01)	AMAR	42.301701362363126
5(N01)	SZE~a	42.25122674710909
4(N01)	U4	42.05563339916787
GISZ	SZU2~a	42.0
2(N01)	NUN~a	41.87991690274298
1(N14)	9(N01)	41.7814535352848
5(N01)	UDU~a	41.56565656565656
5(N01)	U4	41.55481326379159
1(N14)	PAP~a	41.51960221092076
1(N14)	GI	41.369643400429645
GAL~a	SZITA~a1	41.24930820813173
1(N01)	ERIN	41.164177489177476
1(N01)	AL	41.080797470503356
2(N45)	SZE~a	41.08053269090562
3(N57)	EN~a	40.73630347726147
1(N01)	DA~a	40.71270221007063
2(N14)	6(N01)	40.515390818331994
1(N01)	GI6	40.49595016095014
1(N24)	1(N39~a)	40.39434030881398
2(N14)	BA	40.375186071238694
AN	SZU2	40.321387408887404
1(N01)	UD5~a	40.262265512265515
2(N14)	EN~a	39.93868895765861
1(N01)	SZA	39.87357017982018
1(N57)	3(N01)	39.72516843321797
3(N14)	4(N01)	39.511233766233744
1(N25)	1(N42~a)	39.38862232183843
1(N14)	GAR	39.302548535056275
PA~a	RAD~a	39.214588189588184
1(N57)	5(N01)	39.20570752776634
1(N34)	5(N14)	39.205281356574446
5(N01)	EN~a	39.14197461035697
3(N01)	PAP~a	38.95599055279833
NAM2	RAD~a	38.8561938061938
1(N01)	UB	38.732568411980175
2(N01)	3(N57)	38.616627540619476
1(N14)	AN	38.53375964751025
1(N14)	SAL	38.28284407376749
2(N01)	3(N01)	38.185869503355875
1(N01)	TUR3~a	38.175324675324674
HI	NUN~a	38.15102632811698
1(N57)@t	E2~a	38.0
1(N01)	ERIM~a	37.99530104398525
1(N34)	4(N01)	37.99458613282143
PAP~a	SZU	37.96661164922035
1(N01)	ZATU753	37.806386303754714
4(N01)	BA	37.743815171756346
1(N34)	3(N01)	37.63802425472704
PAP~a	SZE~a	37.50550378740034
AN	MAR~a	37.25794622044622
