signI	signJ	{measureName}
2(N01)	8(N01)	129.18020886262323
4(N01)	6(N01)	128.98060530799995
5(N01)	6(N01)	128.9085923880197
1(N14)	SANGA~a	128.86534043804548
1(N14)	E2~a	128.63599231525993
1(N14)	A	128.4290449978146
EN~a	NAM2	127.86346311578599
1(N14)	5(N14)	127.82678034371781
EN~a	SAG	126.87783382225257
1(N01)	KUR~a	126.45799177392782
5(N01)	U4	126.16162807295066
5(N01)	SZE~a	126.10545153422946
EN~a	SI	126.00544080874927
3(N57)	PAP~a	125.78380822507341
3(N01)	GI	125.61013816429454
1(N14)	GAL~a	125.34472980024405
2(N01)	PA~a	124.11015756140348
1(N34)	EN~a	124.05745152126669
1(N57)	EN~a	123.07052905937475
4(N14)	5(N01)	122.91156244395981
3(N01)	SZU	122.84956638974998
2(N01)	ME~a	122.67824571936914
1(N01)	DUG~c	122.56122804576987
2(N14)	U4	122.2704754245004
1(N01)	SU~a	121.91685490423272
AN	U4	121.81326498579602
2(N01)	KI	121.23704609968604
GI	SZE~a	120.86581948716116
2(N01)	NAM2	120.37365038907568
3(N14)	SZE~a	120.26055331518253
2(N01)	SAG	120.14698787077668
2(N14)	BA	119.58005278447048
2(N01)	SI	119.38518272598759
1(N01)	KU3~a	119.26475478575338
2(N01)	SZU2	119.01089456019096
BA	SZE~a	118.83185406560054
1(N01)	TUG2~a	118.72005217764307
AN	PAP~a	118.46444181601393
3(N01)	A	118.27908418447846
3(N01)	4(N14)	117.43250401296719
EN~a	HI	117.37625881606924
PAP~a	SZU	117.00404271669076
1(N14)	DU	116.43992556054533
1(N14)	NUN~a	116.37553757230017
2(N01)	AB~a	116.23839002915503
1(N01)	DA~a	115.79920805545511
PAP~a	SZE~a	115.7877358566702
2(N01)	KU6~a	115.78529363185463
2(N14)	SAL	115.67949931592959
1(N14)	9(N01)	115.56778949816513
AN	NUN~a	115.46231955933321
A	AN	115.42593959458344
1(N57)	5(N01)	115.05008232909557
4(N01)	AN	114.72673200716791
3(N01)	7(N01)	114.35378347005161
