signI	signJ	{measureName}
5(N01)	U4	113.49306406865283
2(N01)	ME~a	113.17830685453657
2(N14)	4(N14)	112.95969046604793
5(N01)	6(N01)	112.38975254249786
1(N57)	EN~a	112.21194319728055
1(N01)	8(N01)	112.02200296541785
EN~a	NAM2	111.77910705026504
GI	SZE~a	111.77597408151178
4(N01)	6(N01)	111.13106268236882
EN~a	HI	110.7477280031708
1(N01)	SU~a	110.67561863454209
2(N01)	NAM2	110.34637246742736
PAP~a	SZU	109.83767950560852
AN	PAP~a	109.71017510547838
AN	U4	108.87399331049156
1(N01)	4(N14)	108.29036334713672
5(N01)	SZE~a	107.71272898201859
4(N01)	U4	107.12277513501883
1(N01)	TAK4~a	106.93730976819342
DU	PAP~a	106.93544459632605
PAP~a	SZE~a	106.83381149363353
1(N34)	4(N14)	106.65613216380352
1(N01)	RU	106.45276746949166
1(N34)	3(N01)	106.11168829641771
2(N01)	PA~a	105.8018376724747
1(N34)	4(N01)	105.61961342461764
BA	SZE~a	104.80212663456089
2(N01)	KI	104.71552753243978
1(N01)	DA~a	104.69707148498814
2(N01)	SAG	104.58876950011245
3(N14)	SZE~a	104.02217941264242
1(N01)	MASZ	104.02051572537466
BA	GI	103.85360151665134
1(N01)	SUHUR	103.82550377362192
A	AN	103.69033109709821
1(N14)	E2~a	103.33339423905112
AN	NUN~a	103.17293420202141
2(N01)	KU6~a	102.92663121453464
1(N14)	9(N01)	102.9065894035626
3(N14)	EN~a	102.67528459055079
3(N01)	SZU	102.66632032016919
4(N14)	5(N01)	102.31425216668706
1(N14)	5(N14)	101.86943602535119
2(N01)	7(N01)	101.26309397020987
AN	MUSZ3~a	100.98691317449382
1(N01)	UD5~a	100.88406515214666
1(N57)	5(N01)	100.63359260466802
AN	SZU	100.59879396370748
AN	SAL	100.55546482216903
2(N01)	AB~a	100.3000849011825
AN	BU~a	99.94405691983278
1(N01)	RAD~a	99.08726753016973
1(N01)	1(N24)	98.82640820575244
PAP~a	U4	98.533199330029
EN~a	SZU2	97.96778716702231
1(N01)	DI	97.46173303465156
1(N14)	SZU	97.28970075329248
5(N01)	UDU~a	97.24398061203969
AB~a	EN~a	96.89111576570113
3(N01)	A	96.25310011090467
1(N14)	3(N57)	95.78884168173843
1(N01)	1(N08)	95.26952828413744
EN~a	TE	95.24055451581806
1(N01)	TUR3~a	94.91536246931696
AN	SZE~a	94.75203565995777
1(N01)	DUG~a	94.64976636500366
4(N01)	AN	94.64664418632347
1(N14)	GAR	94.55481592050648
3(N57)	U4	94.3665762391152
2(N01)	BAR	93.76291160671184
3(N01)	NUN~a	93.67378041628305
2(N01)	NI~a	93.44767488689209
1(N01)	APIN~a	93.30275575687347
1(N14)	GAL~a	93.2085673940626
1(N01)	ZATU753	92.85951704832694
5(N01)	SAL	92.52042566212117
BU~a	SZE~a	92.47455786978468
3(N01)	7(N01)	92.33076761751072
3(N01)	3(N57)	92.31543115502546
1(N57)	SAL	92.29123729968674
EN~a	IB~a	92.264584846291
GI	PAP~a	92.05421672772013
1(N01)	GA2~a1	91.8593572163959
3(N57)	SAL	91.80103667007283
2(N14)	BA	91.73329400948252
3(N01)	BU~a	91.68929369698984
EN~a	TUR	91.4998252707216
GAL~a	NAM2	91.18794500410827
3(N01)	GAL~a	90.87027724330605
1(N01)	MA	90.6866232667503
5(N01)	AN	90.64706583889273
1(N01)	KISAL~b1	90.59661886541205
AN	KI	90.50315448484105
3(N57)	E2~a	90.472947692202
2(N14)	U4	90.33787454976985
2(N01)	GAR	90.16302042952925
2(N01)	TUR	90.1032069704883
3(N57)	BU~a	90.04589569891648
1(N01)	UNUG~a	89.88811641037843
4(N01)	BA	89.79676943327011
1(N14)	A	89.7907008781829
EN~a	KU6~a	89.6946543302373
1(N01)	GU4	89.45363664855506
A	BU~a	89.35096974605419
3(N01)	8(N01)	89.34669553215406
2(N01)	HI	89.29523799917983
1(N57)	2(N14)	89.26736054005923
1(N57)	4(N01)	89.20984446771978
NAM2	PAP~a	89.09949160934399
3(N01)	DU	89.09466717804379
3(N14)	4(N14)	88.89868001970157
AN	GI	88.74627959897538
BU~a	NAM2	88.57515237523495
2(N14)	SAL	88.57437334668661
3(N01)	4(N14)	88.40583802197979
AN	E2~a	88.23858084737923
1(N14)	SZU2	88.16283309541384
1(N01)	URU~a1	88.00101046159831
2(N14)	UDU~a	87.47976418779106
3(N01)	E2~a	87.15234151966213
1(N45)	SZE~a	87.0612913840547
1(N01)	SZA	86.85568562311263
1(N01)	U2~b	86.81551712452095
1(N01)	SUKKAL	86.62134559077269
2(N14)	7(N01)	86.18849732174989
1(N01)	ERIN	86.13484718430274
1(N14)	DU	85.80011519131229
AN	BA	85.77835755015191
1(N14)	SANGA~a	85.35041289731629
5(N01)	8(N01)	85.28886262580302
3(N57)	SZE~a	85.24466413843865
5(N01)	PAP~a	85.00938301087298
BAR	U4	84.85759397514083
1(N14)	2(N34)	84.65523571157838
5(N01)	BA	84.61938409001398
A	PAP~a	84.54123590090252
