signI	signJ	{measureName}
5(N01)	U4	115.31954314089731
2(N01)	ME~a	114.90179900412684
2(N14)	4(N14)	114.75563629280052
5(N01)	6(N01)	114.12674139540754
1(N01)	8(N01)	114.11998664296877
1(N57)	EN~a	114.03083556896304
EN~a	NAM2	113.6263780337087
GI	SZE~a	112.98962764388494
4(N01)	6(N01)	112.65173063741162
2(N01)	NAM2	112.55366802371667
1(N01)	SU~a	112.21554463681443
EN~a	HI	111.41082946260904
1(N01)	4(N14)	110.7096939414079
PAP~a	SZU	110.66143323599803
AN	PAP~a	110.66054998552903
AN	U4	110.31208061166107
5(N01)	SZE~a	109.11084126362263
PAP~a	SZE~a	108.75830677136143
4(N01)	U4	108.73440775136608
1(N34)	4(N14)	108.61165136696845
1(N01)	RU	108.47847971582
2(N01)	PA~a	108.22312383396239
1(N34)	4(N01)	108.0781176897941
DU	PAP~a	107.97095896105931
1(N34)	3(N01)	107.80782072988404
1(N01)	TAK4~a	107.63443572319501
BA	SZE~a	106.52430760484293
1(N01)	DA~a	106.08536206626223
2(N01)	SAG	105.96283852068281
2(N01)	KI	105.84307745688646
1(N01)	MASZ	105.61191261847554
3(N14)	SZE~a	105.5325748140845
1(N14)	E2~a	105.42386043836571
1(N01)	SUHUR	105.35214249380131
BA	GI	105.03667786601306
AN	NUN~a	104.58444139925314
3(N14)	EN~a	104.53306932261793
A	AN	104.52659229367845
2(N01)	KU6~a	104.4291134025311
3(N01)	SZU	104.35721487952505
1(N14)	9(N01)	104.23938519439267
4(N14)	5(N01)	104.086882036906
1(N14)	5(N14)	103.82276834791898
1(N57)	5(N01)	103.63085302269113
2(N01)	7(N01)	103.27172748784518
1(N01)	UD5~a	101.9553996244125
2(N01)	AB~a	101.85780209625202
AN	MUSZ3~a	101.65255408012773
AN	SAL	101.37124382921301
AN	SZU	101.27291320645986
EN~a	SZU2	101.19816871904514
AN	BU~a	100.75723713468508
1(N01)	RAD~a	100.57156465392843
1(N01)	1(N24)	100.06378677896252
PAP~a	U4	99.82741014807726
1(N14)	SZU	99.48396407122074
5(N01)	UDU~a	98.42858291140897
1(N01)	DI	98.33603711428911
AB~a	EN~a	97.94592795461725
3(N01)	A	97.29688648040299
1(N14)	3(N57)	97.14791181312664
3(N57)	U4	97.0120484375334
EN~a	TE	96.67419875607033
1(N01)	1(N08)	96.14500422254696
AN	SZE~a	96.14305425718769
2(N01)	BAR	96.04324423362132
1(N14)	GAR	96.00636653405415
1(N01)	DUG~a	95.87841483707906
4(N01)	AN	95.72371781444862
1(N01)	TUR3~a	95.56342103242686
3(N01)	NUN~a	95.07629001660305
1(N01)	ZATU753	94.99975144863859
2(N01)	NI~a	94.91506808058563
2(N14)	BA	94.90641019406821
1(N14)	GAL~a	94.86284649423305
1(N01)	APIN~a	94.6377618184946
1(N57)	SAL	93.97092444735584
3(N01)	7(N01)	93.82080396946779
5(N01)	SAL	93.72695886947876
3(N01)	3(N57)	93.62525467964478
BU~a	SZE~a	93.45568054222983
3(N57)	SAL	92.94319413916355
EN~a	IB~a	92.94235154830723
GI	PAP~a	92.92443893149951
3(N01)	BU~a	92.68020769129849
1(N01)	GA2~a1	92.5823118899799
5(N01)	AN	92.5034739967632
EN~a	TUR	92.41930803644723
1(N01)	UNUG~a	92.40001480790556
GAL~a	NAM2	92.18636591686376
2(N14)	U4	92.18282446521368
3(N01)	GAL~a	92.1483872618192
2(N01)	GAR	92.07685188744104
1(N57)	2(N14)	91.92294403709064
3(N57)	E2~a	91.8875871530616
1(N14)	A	91.84669652998757
1(N01)	MA	91.5170608271922
1(N01)	KISAL~b1	91.49659660400731
2(N01)	TUR	91.2145762073317
1(N01)	GU4	91.19235540009232
1(N57)	4(N01)	91.17125483840144
AN	KI	91.14508742825508
4(N01)	BA	91.07372652395266
3(N57)	BU~a	90.99435331963396
BAR	U4	90.89146952543197
3(N01)	8(N01)	90.77730906372581
A	BU~a	90.47305314258755
EN~a	KU6~a	90.45871118042432
3(N14)	4(N14)	90.33602777241079
2(N01)	HI	89.9939022304599
2(N14)	SAL	89.9532920236378
3(N01)	DU	89.81107156113166
NAM2	PAP~a	89.72678523954434
AN	GI	89.65419565469831
3(N01)	4(N14)	89.5364305217592
2(N14)	UDU~a	89.38266672355384
BU~a	NAM2	89.19356211862306
AN	E2~a	89.17675114119793
1(N14)	SZU2	89.0518531886142
1(N45)	SZE~a	88.7682695889252
1(N01)	URU~a1	88.71900311482526
3(N01)	E2~a	88.08922967452186
1(N01)	U2~b	87.52323039178486
1(N01)	SZA	87.50206030421404
1(N01)	SUKKAL	87.45252175955733
1(N14)	DU	87.23074312098147
1(N14)	SANGA~a	87.1882125308472
2(N14)	7(N01)	87.16640830279056
1(N01)	ERIN	86.98983609061905
5(N01)	8(N01)	86.98354757162241
AN	BA	86.77872297761732
3(N57)	SZE~a	86.26691069586376
1(N14)	2(N34)	86.12077968988793
1(N14)	NUN~a	86.11311583495466
1(N57)	BA	86.07135835731128
1(N01)	ERIM~a	86.06359079126362
5(N01)	PAP~a	86.02812270553862
A	PAP~a	86.01762616107413
